0.829609,0.821049
0.830973,0.822187
0.832264,0.823259
0.833499,0.824390
0.834906,0.825569
0.835907,0.826416
0.836929,0.827308
0.837901,0.828190
0.838840,0.828844
0.839746,0.829562
0.840587,0.830305
0.841383,0.830936
0.842219,0.831574
0.842981,0.832254
0.843650,0.832809
0.844277,0.833324
0.844863,0.833760
0.845410,0.834202
0.845929,0.834566
0.846412,0.834910
0.846871,0.835201
0.847316,0.835489
0.847676,0.835795
0.848033,0.836084
0.848370,0.836411
0.848678,0.836601
0.848987,0.836792
0.849285,0.836939
0.849562,0.837090
0.849797,0.837241
0.850002,0.837336
0.850210,0.837410
0.850381,0.837562
0.850553,0.837675
0.850709,0.837741
0.850855,0.837805
0.851002,0.837879
0.851138,0.837905
0.851253,0.837990
0.851375,0.838045
0.851482,0.838108
0.851577,0.838170
0.851683,0.838284
0.851777,0.838373
0.851857,0.838367
0.851930,0.838415
0.852005,0.838433
0.852077,0.838433
0.852155,0.838456
0.852211,0.838449
0.852261,0.838417
0.852312,0.838423
0.852364,0.838404
0.852407,0.838414
0.852446,0.838392
0.852493,0.838425
0.852540,0.838438
0.852575,0.838444
0.852610,0.838404
0.852636,0.838376
0.852662,0.838342
0.852695,0.838364
0.852729,0.838387
0.852751,0.838374
0.852769,0.838387
0.852788,0.838397
0.852810,0.838398
0.852828,0.838398
0.852843,0.838388
0.852860,0.838375
0.852882,0.838367
